UPC,VENDOR NUMBER,PRICE,PRICE MULTIPLE,CASE COST,SALE PRICE MULTIPLE,SALE PRICE,SALE START DATE,SALE END DATE
0003680042184,'1',10.99,1,47.860,1,7.99,2024241,2024247
0003680042186,'1',10.99,1,47.860,1,7.99,2024241,2024247
0004300020449,'1',2.29,1,31.220,2,3.00,2024241,2024247
0004300020433,'1',2.29,1,31.220,2,3.00,2024241,2024247
0004300020003,'1',2.29,1,31.220,2,3.00,2024241,2024247
0004300020001,'1',2.29,1,31.220,2,3.00,2024241,2024247
0003800024553,'1',3.59,1,31.500,1,2.29,2024241,2024247
0003800013841,'1',3.59,1,31.500,1,2.29,2024241,2024247
0003700022996,'1',3.59,1,31.500,1,2.29,2024241,2024247
0003700037705,'1',3.59,1,31.500,1,2.29,2024241,2024247
0003800084496,'1',3.59,1,31.500,1,2.29,2024241,2024247
0003800013843,'1',3.59,1,31.500,1,2.29,2024241,2024247
0003700023004,'1',3.59,1,31.500,1,2.29,2024241,2024247
0003700037717,'1',3.59,1,31.500,1,2.29,2024241,2024247
0003700047183,'1',3.59,1,31.500,1,2.29,2024241,2024247
0003800015774,'1',3.59,1,31.500,1,2.29,2024241,2024247
0003800084500,'1',3.59,1,31.500,1,2.29,2024241,2024247
0003800018371,'1',3.59,1,31.500,1,2.29,2024241,2024247
0003700023006,'1',3.59,1,31.500,1,2.29,2024241,2024247
0003700037706,'1',3.59,1,31.500,1,2.29,2024241,2024247
0003800013854,'1',3.59,1,31.500,1,2.29,2024241,2024247
0003800084497,'1',3.59,1,31.500,1,2.29,2024241,2024247
0003800013863,'1',3.59,1,31.500,1,2.29,2024241,2024247
0003700023011,'1',3.59,1,31.500,1,2.29,2024241,2024247
0003700037712,'1',3.59,1,31.500,1,2.29,2024241,2024247
0003800084502,'1',3.59,1,31.500,1,2.29,2024241,2024247
0003800013897,'1',3.59,1,31.500,1,2.29,2024241,2024247
0003800013872,'1',3.59,1,31.500,1,2.29,2024241,2024247
0003700024099,'1',3.59,1,31.500,1,2.29,2024241,2024247
0003700037714,'1',3.59,1,31.500,1,2.29,2024241,2024247
0003800084505,'1',3.59,1,31.500,1,2.29,2024241,2024247
0003800029835,'1',3.59,1,31.500,1,2.29,2024241,2024247
0003800013860,'1',3.59,1,31.500,1,2.29,2024241,2024247
0003700023009,'1',3.59,1,31.500,1,2.29,2024241,2024247
0003700037716,'1',3.59,1,31.500,1,2.29,2024241,2024247
0003800084499,'1',3.59,1,31.500,1,2.29,2024241,2024247
0003800024939,'1',3.59,1,31.500,1,2.29,2024241,2024247
0004400003048,'1',5.59,1,22.930,2,5.00,2024241,2024247
0004400000106,'1',5.59,1,22.930,2,5.00,2024241,2024247
0004400000463,'1',6.49,1,51.430,1,4.29,2024241,2024247
0004400003047,'1',5.59,1,22.930,2,5.00,2024241,2024247
0004400000031,'1',5.59,1,22.930,2,5.00,2024241,2024247
0004400006923,'1',5.59,1,22.930,2,5.00,2024241,2024247
0004400000104,'1',5.59,1,22.930,2,5.00,2024241,2024247
0004400003037,'1',5.59,1,22.930,2,5.00,2024241,2024247
0004400005098,'1',5.59,1,45.850,2,5.00,2024241,2024247
0004400000119,'1',5.59,1,45.850,2,5.00,2024241,2024247
0004400002795,'1',5.59,1,45.850,2,5.00,2024241,2024247
0004400003049,'1',5.59,1,22.930,2,5.00,2024241,2024247
0004400000189,'1',5.59,1,22.930,2,5.00,2024241,2024247
0004400005135,'1',5.59,1,22.930,2,5.00,2024241,2024247
0004400004446,'1',5.59,1,22.930,2,5.00,2024241,2024247
0004400005099,'1',5.59,1,22.930,2,5.00,2024241,2024247
0004400002797,'1',5.59,1,22.930,2,5.00,2024241,2024247
0004400001317,'1',5.59,1,22.930,2,5.00,2024241,2024247
0004400005136,'1',5.59,1,22.930,2,5.00,2024241,2024247
0004400002799,'1',5.59,1,22.930,2,5.00,2024241,2024247
0004400005101,'1',5.59,1,22.930,2,5.00,2024241,2024247
0004400002798,'1',5.59,1,22.930,2,5.00,2024241,2024247
0004400000367,'1',5.59,1,22.930,2,5.00,2024241,2024247
0002100002820,'1',5.49,1,26.740,1,3.79,2024241,2024247
0002100064282,'1',5.49,1,26.740,1,3.79,2024241,2024247
0002100032307,'1',5.49,1,26.740,1,3.79,2024241,2024247
0002100064361,'1',5.49,1,26.740,1,3.79,2024241,2024247
0002100064425,'1',5.49,1,26.740,1,3.79,2024241,2024247
0002100064469,'1',5.49,1,26.740,1,3.79,2024241,2024247
0002100073345,'1',5.49,1,26.740,1,3.79,2024241,2024247
0002100064473,'1',5.49,1,26.740,1,3.79,2024241,2024247
0002100064470,'1',5.49,1,26.740,1,3.79,2024241,2024247
0002100000282,'1',5.49,1,26.740,1,3.79,2024241,2024247
0008768400099,'1',5.29,1,17.190,2,7.00,2024241,2024247
0008768400410,'1',5.29,1,17.190,2,7.00,2024241,2024247
0008768400995,'1',5.29,1,17.190,2,7.00,2024241,2024247
0008768400107,'1',5.29,1,17.190,2,7.00,2024241,2024247
0008768400408,'1',5.29,1,17.190,2,7.00,2024241,2024247
0008768400974,'1',5.29,1,17.190,2,7.00,2024241,2024247
0008768400100,'1',5.29,1,17.190,2,7.00,2024241,2024247
0008768400409,'1',5.29,1,17.190,2,7.00,2024241,2024247
0008768400980,'1',5.29,1,17.190,2,7.00,2024241,2024247
0007210134380,'1',4.89,1,34.120,2,5.00,2024241,2024247
0007210101220,'1',4.89,1,34.120,2,5.00,2024241,2024247
0060069900328,'1',3.19,1,33.050,1,1.99,2024241,2024247
0005000032275,'1',5.69,1,25.360,2,7.00,2024241,2024247
0005000032290,'1',5.69,1,25.360,2,7.00,2024241,2024247
0005000088680,'1',5.69,1,25.360,2,7.00,2024241,2024247
0005000084811,'1',5.69,1,25.360,2,7.00,2024241,2024247
0005000084808,'1',5.69,1,25.360,2,7.00,2024241,2024247
0005000030262,'1',5.69,1,25.360,2,7.00,2024241,2024247
0005000051277,'1',5.69,1,25.360,2,7.00,2024241,2024247
0005000088610,'1',5.69,1,25.360,2,7.00,2024241,2024247
0070405170203,'1',8.19,1,27.070,1,5.29,2024241,2024247
0000405170203,'1',8.19,1,27.070,1,5.29,2024241,2024247
0070405170103,'1',8.19,1,27.070,1,5.29,2024241,2024247
0088831391499,'1',7.09,1,49.320,1,4.99,2024241,2024247
0088831691499,'1',7.09,1,49.320,1,4.99,2024241,2024247
0008831391499,'1',7.09,1,49.320,1,4.99,2024241,2024247
0003680047523,'1',19.59,1,89.260,1,9.99,2024241,2024247
0003680044335,'1',19.59,1,89.260,1,9.99,2024241,2024247
